geneID	HS01	HS02	HS03	HS04	HS05	CL08	CL10	CL11	CL12	CL13
TAP2	5.415480548191076	5.180734358504891	4.887534205343066	4.449795923345321	3.4439461118991033	6.717793779760467	7.138038986509753	7.926217894145626	7.580378370558607	7.4325060848472715
TAPBP	6.0557302719541966	6.179770768465877	5.5562415745156395	6.102489519054764	7.026244862440856	8.139710141559007	8.774424838226636	8.891635346263966	9.30269411054222	8.65597222889466
TAPBPL	3.83365701382515	3.7407483710259033	3.6013112354169485	3.7498050027598087	4.261073869129796	6.0526624273311755	5.8119725331156165	5.597974322019876	6.221265753464201	5.530334908136042
TBC1D10C	1.7072154943047326	1.9890258633275215	1.3676987721894631	0.9815364982492601	3.2187259520021505	5.74749815805181	6.295505887297864	6.812385536630765	7.030603384229858	5.4123636282789995
TBX21	-2.148818037510009	-0.3228181962832127	-3.0563863769913904	-0.3209048043350908	-0.7299222111499298	3.094129679311704	4.050371508175372	4.621376327391779	4.970514121315628	3.588903445152735
TBXAS1	1.2896717219262288	2.712993976349628	2.8654653980179905	2.8419187890649895	4.008452302143763	6.282165645354506	6.052633523319171	5.986173433133097	6.179918506710386	5.816407395073164
TCAF2P1	-1.2750843319898966	-0.34752771369057245	-0.025696700575205747	-0.9080361929133768	-2.1481247943804087	0.16107282409662022	1.7322544086737746	1.7607695903412948	1.9784453352901863	1.622760349641306
TCEA3	5.523109301541805	5.589994416483865	5.297375006500085	5.745648675230406	5.777035256267144	3.5607697142671397	2.857266867449842	1.9244248119567173	2.1722278316285992	2.559065005490447
TCIRG1	3.030937691877999	4.032478019747832	3.831652724364572	4.020783843031394	4.807076480307827	6.998432686727189	7.167613966605224	7.488062763792697	7.683288726536196	7.032913304933008
TCL1A	-3.9933001686083944	-3.050663169143628	-2.6192135369982936	-1.4687442968937559	-2.1481247943804087	3.121819745549212	2.0198456043018687	0.5558772122204878	2.060957296975931	3.3914434618090525
TCN2	2.3761426385291298	3.616959514361915	2.7765235085656705	3.811571786558624	3.744920548105136	6.84769112761434	6.048206519248358	6.145511474955577	6.40550726060498	5.843635505996248
TDO2	-2.404798888240742	-0.997713139966134	-1.7226757486959723	-2.236572648155188	-2.1481247943804087	5.64539477569991	6.757833688239162	7.126866603041471	7.263640468324544	6.605255521076113
